salt,treatment,replicate,hour_0,hour_4,hour_24,hour_47,hour_73,hour_95,hour_123,hour_140
RoadSalt,0,A,10,10,10,10,10,10,10,10
RoadSalt,0,B,10,10,10,10,10,10,10,10
RoadSalt,1000,B,10,10,10,10,10,10,10,10
RoadSalt,2000,A,10,10,10,10,10,10,10,10
RoadSalt,2000,B,10,10,10,10,10,10,10,10
RoadSalt,3000,A,10,10,10,10,8,8,7,6
RoadSalt,3000,B,12,12,12,12,12,12,11,10
RoadSalt,4000,A,10,10,10,10,10,10,6,4
RoadSalt,4000,B,12,12,12,12,11,10,9,7
RoadSalt,5000,A,10,10,10,9,8,5,2,0
RoadSalt,5000,B,10,10,10,10,6,4,1,0
RoadSalt,6000,A,10,10,10,10,5,0,0,0
RoadSalt,6000,B,10,10,10,9,4,0,0,0
RoadSalt,7000,A,10,10,10,5,4,0,0,0
RoadSalt,7000,B,10,10,9,4,0,0,0,0
