experiment_date,lab_temp,experiment,salt,treatment,replicate,tube,ctmax_minute,ctmax_second
2/3/24,4,2,RoadSalt,control,A,1,69,43
2/3/24,4,2,RoadSalt,salt,A,2,78,33
2/3/24,4,2,RoadSalt,control,A,3,73,30
2/3/24,4,2,RoadSalt,salt,A,4,77,18
2/3/24,4,2,RoadSalt,salt,B,5,67,52
2/3/24,4,2,RoadSalt,control,B,6,71,50
2/3/24,4,2,RoadSalt,salt,B,7,74,46
2/3/24,4,2,RoadSalt,control,B,8,76,10
2/3/24,4,2,RoadSalt,control,B,9,68,29
2/3/24,4,2,RoadSalt,salt,B,10,25,8
