experiment_date,lab_temp,experiment,salt,treatment,replicate,tube,ctmax_minute,ctmax_second
1/27/24,4,2,InstantOcean,salt,A,1,56,34
1/27/24,4,2,InstantOcean,control,A,2,45,36
1/27/24,4,2,InstantOcean,salt,B,3,51,39
1/27/24,4,2,InstantOcean,salt,B,4,59,50
1/27/24,4,2,InstantOcean,control,A,5,55,33
1/27/24,4,2,InstantOcean,control,B,6,47,36
1/27/24,4,2,InstantOcean,salt,B,7,67,26
1/27/24,4,2,InstantOcean,salt,B,8,54,46
1/27/24,4,2,InstantOcean,control,B,9,66,54
1/27/24,4,2,InstantOcean,control,B,10,52,33
