Time,Temperature
0:00:00,0.2
0:05:00,0.7
0:10:00,1.5
0:15:00,2.8
0:20:00,4.2
0:25:00,5.5
0:30:00,6.9
0:35:00,8.2
0:40:00,9.6
0:45:00,10.9
0:50:00,12.2
0:55:00,13.4
1:00:00,14.6
1:05:00,
1:10:00,17.1
1:15:00,18.3
1:20:00,19.4
1:25:00,20.6
1:30:00,21.7
1:35:00,22.9
1:40:00,23.9
1:45:00,25
1:50:00,26.2
1:55:00,27.1
2:00:00,28.1
2:05:00,29.1
2:10:00,30.1
