Time,Temperature
0:00:00,6.4
0:05:00,6.9
0:10:00,8.4
0:15:00,9.7
0:20:00,11.2
0:25:00,12.6
0:30:00,14
0:35:00,15.4
0:40:00,16.7
0:45:00,18.1
0:50:00,19.4
0:55:00,20.7
1:00:00,21.9
1:05:00,23.2
1:10:00,24.4
1:15:00,25.6
1:20:00,26.8
1:25:00,27.9
1:30:00,29.1
1:35:00,30.1
1:40:00,31.1
1:45:00,32.1
