Time,Temp
0:00,11.9
0:05,12.6
0:10,14
0:15,15.3
0:20,16.7
0:25,18
0:30,19.3
0:35,20.6
0:40,21.9
0:45,23.2
0:50,24.4
0:55,25.7
1:00,26.9
1:05,28
1:10,29.1
1:15,30.2
1:20,31.3
,
,
,
