"experiment_date","experiment","lab_temp","salt","replicate","treatment","tube","rank","time","ctmax"
"2/10/24",1,4,"RoadSalt","B","control",7,2,52.9833333333333,29.0347222222222
"2/10/24",1,4,"RoadSalt","B","control",8,1,54.9666666666667,29.5833333333333
"2/10/24",1,4,"RoadSalt","A","salt",9,8,25.8,20.662037037037
"2/10/24",1,4,"RoadSalt","B","salt",10,10,22.4,19.5243055555556
"2/10/24",2,4,"RoadSalt","A","salt",1,9,23.45,22.1208333333333
"2/10/24",2,4,"RoadSalt","A","control",2,2,41.6166666666667,27.7083333333333
"2/10/24",2,4,"RoadSalt","B","salt",3,4,31.4833333333333,24.7041666666667
"2/10/24",2,4,"RoadSalt","A","control",4,6,29.45,24.0386904761905
"2/10/24",2,4,"RoadSalt","B","control",5,1,41.9333333333333,27.8333333333333
"2/10/24",2,4,"RoadSalt","B","control",6,3,33.4333333333333,25.3125
"2/10/24",2,4,"RoadSalt","A","salt",7,7,26.6,23.140625
"2/10/24",2,4,"RoadSalt","B","salt",8,5,30.5333333333333,24.3715277777778
"2/10/24",2,4,"RoadSalt","B","salt",9,8,25.8,22.8634259259259
"2/10/24",2,4,"RoadSalt","B","control",10,10,22.4166666666667,21.7708333333333
