experiment_date,lab_temp,experiment,salt,treatment,replicate,tube,ctmax_minute,ctmax_second
2/3/24,4,1,RoadSalt,control,A,1,48,52
2/3/24,4,1,RoadSalt,control,A,2,51,39
2/3/24,4,1,RoadSalt,salt,A,3,52,5
2/3/24,4,1,RoadSalt,salt,A,4,49,19
2/3/24,4,1,RoadSalt,salt,A,5,50,0
2/3/24,4,1,RoadSalt,control,A,6,52,46
2/3/24,4,1,RoadSalt,salt,B,7,44,31
2/3/24,4,1,RoadSalt,control,B,8,46,17
2/3/24,4,1,RoadSalt,control,B,9,53,51
2/3/24,4,1,RoadSalt,salt,B,10,54,18
