Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T1,D5,1600,30.5,1:37:03
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T2,D7-1,1800,20.2,0:53:05
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T3,D6,1700,32.1,1:45:19
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T4,D7-2,1800,32.2,1:45:59
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T5,C1,0,32,1:44:34
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T6,D8-1,1900,32.7,1:48:17
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T7,D7-1,1800,31.7,1:43:16
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T8,D5,1600,33.1,1:50:11
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T9,D8-1,1900,32.4,1:47:02
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T10,D7-2,1800,28.7,1:28:54
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T11,C2,0,31.2,1:40:40
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T12,D7-1,1800,21.3,0:57:25
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T13,D8-2,1900,21.5,0:50:32
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T14,D6,1700,31.6,1:42:27
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T15,C2,0,29,1:29:50
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T16,D8-2,1900,25.9,1:16:30
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T17,D8-1,1900,23.1,1:07:49
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T18,D5,1600,32.9,1:49:18
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T19,C1,0,29.3,1:31:01
1/28/26,0,6,6.4,2/3/26,L. Sicilis,3,NaCl,T20,D6,1700,31.9,1:41:35
