Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T1,D1,1900,29.4,1:54:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T2,D5,2300,7.1,0:17:23
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T3,C2,0,29.3,1:54:00
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T4,D4,2200,30.8,2:01:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T5,D3,2100,26.7,1:40:40
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T6,C1,0,28.4,1:49:00
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T7,D5,2300,29.1,1:53:00
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T8,D2,2000,26.5,1:39:40
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T9,D1,1900,23.3,1:24:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T10,D4,2200,26.3,1:38:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T11,D3,2100,28.1,1:47:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T12,D5,2300,22.7,1:22:15
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T13,D6,2400,24.8,1:31:30
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T14,D8,2600,30.9,2:02:10
3/25/26,1,2,3.1,3/31/26,L. Sicilis,4,NaCl,T15,D2,2000,22.3,1:20:00
