Collection Date,Lake Temperature (Degrees C),Lab Temperature,Start Temperature,Assay Date,Species,exp_rep,Treatment,Tube,Dose Assignment,Cl Concentrations,CTMax Temp,CTMax Time
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T1,D5,1400,28.1,1:29:10
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T2,D7,1600,30.1,1:39:00
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T3,D8,1700,29.9,1:38:20
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T4,D6,1500,30.4,1:40:10
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T5,D6,1500,27.8,1:28:00
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T6,C1,0,30.9,1:48:10
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T7,D7,1600,30.6,1:41:36
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T8,D5,1400,30.9,1:42:50
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T9,C2,0,22.7,1:05:10
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T10,D7,1600,22.4,1:04:30
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T11,D8,1700,28.8,1:32:00
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T12,C1,0,29.4,1:35:30
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T13,D5,1400,28.4,1:31:05
1/16/26,2,7,6.2,1/22/26,L. Sicilis,2,NaCl,T14,C2,0,30.8,1:42:20
